key,press,release
key.space,793.598956,793.686906
key.caps_lock,793.7158900000001,793.8328220000001
key.s,793.964731,794.067845
key.caps_lock,794.213745,794.3446690000001
key.h,794.3746520000001,794.490585
key.e,794.6624860000001,794.764004
key.p,795.738691,795.826639
key.h,796.0015390000001,796.118471
key.a,796.147455,796.3085520000001
key.r,796.513446,796.6443710000001
key.d,797.9256310000001,798.0425660000001
key.comma,798.987019,799.08996
key.space,799.1339350000001,799.3038230000001
key.caps_lock,799.6256350000001,799.75656
key.j,799.932806,800.0487390000001
key.caps_lock,800.0627310000001,800.1656720000001
key.o,800.239631,800.355547
key.h,800.468482,800.5854330000001
key.n,800.731345,800.819294
key.space,801.1690920000001,801.286025
key.caps_lock,801.3739740000001,801.5049
key.g,801.5898510000001,801.6758000000001
key.caps_lock,801.7067840000001,801.8087240000001
key.l,801.8966750000001,802.012606
key.e,802.056581,802.14453
key.n,802.2754550000001,802.3634040000001
key.n,802.4513730000001,802.52435
key.comma,804.443339,804.54528
key.space,804.793136,804.895985
key.caps_lock,805.2707690000001,805.41767
key.j,805.6365450000001,805.7384840000001
key.caps_lock,805.7684670000001,805.8554180000001
key.r,806.2756290000001,806.391563
key.period,806.581452,806.684393
key.space,806.713377,806.8443070000001
key.backspace,807.5987620000001,807.7456840000001
key.comma,808.544039,808.6169980000001
key.space,809.0701130000001,809.172089
key.caps_lock,809.9710040000001,810.073021
key.s,810.2349280000001,810.3208850000001
key.caps_lock,810.4088320000001,810.5407550000001
key.a,810.5990300000001,810.6869790000001
key.l,810.974812,811.1063670000001
key.l,811.3102690000001,811.398218
key.y,811.6460900000001,811.77801
key.space,812.650737,812.781198
key.caps_lock,813.0149720000001,813.1610830000001
key.r,813.273012,813.3758770000001
key.caps_lock,813.376877,813.49301
key.i,813.6389280000001,813.7848740000001
key.d,813.755891,813.9018050000001
key.e,813.959778,814.092701
key.space,814.1946770000001,814.2961770000001
key.backspace,815.138907,815.2698160000001
key.comma,815.5290130000001,815.616966
key.space,815.6459500000001,815.792052
key.t,816.693713,816.810646
key.o,816.7816620000001,816.9409790000001
key.space,817.203882,817.320818
key.n,817.438064,817.5690030000001
key.a,817.612978,817.7149400000001
key.m,817.916864,818.017825
key.e,818.031836,818.163752
key.space,818.2077400000001,818.3100290000001
key.a,818.368058,818.499982
key.space,818.5289690000001,818.6459010000001
key.f,819.83887,819.911826
key.e,820.3900950000001,820.4920340000001
key.w,820.6380350000001,820.7399280000001
key.space,821.7138640000001,821.85978
key.-,822.0649500000001,822.1668900000001
key.-,822.284749,822.385785
key.space,822.5139740000001,822.673897
key.c,823.7210620000001,823.809031
key.o,823.824024,824.013952
key.n,823.998961,824.1448760000001
key.j,824.276785,824.378954
key.u,824.4960130000001,824.568985
key.r,824.6709480000001,824.80191
key.e,824.841887,825.002833
key.space,825.046808,825.1629740000001
key.u,825.908042,826.0209980000001
key.p,826.0349900000001,826.210913
key.space,826.1809320000001,826.342964
key.i,826.4589040000001,826.560878
key.m,826.648847,826.764812
key.a,826.8677710000001,826.9987010000001
key.g,826.9997010000001,827.1166330000001
key.e,827.145617,827.30258
key.s,827.448516,827.550477
key.space,827.623454,827.740406
key.o,828.6998960000001,828.772871
key.f,828.8168430000001,828.934778
key.space,828.991742,829.1086600000001
key.b,829.268908,829.3568580000001
key.r,829.5577430000001,829.6746750000001
key.a,829.850573,829.9665060000001
key.v,829.9814980000001,830.083439
key.e,830.142407,830.2443480000001
key.r,830.390262,830.4917730000001
key.y,830.5797220000001,830.7376310000001
key.space,831.988518,832.0914590000001
key.a,832.1644170000001,832.2949160000001
key.m,832.352883,832.4118490000001
key.n,832.382866,832.3968580000001
key.backspace,832.9923110000001,833.123241
key.backspace,833.226079,833.3280060000001
key.n,834.317667,834.434011
key.d,834.4480030000001,834.5649350000001
key.space,834.579927,834.681804
key.a,834.754762,834.871709
key.d,835.0336000000001,835.1355440000001
key.v,835.2374050000001,835.321356
key.e,835.423297,835.510247
key.n,835.584204,835.700153
key.t,835.7591040000001,835.8610600000001
key.u,835.935019,836.035979
key.r,836.065948,836.152902
key.e,836.225866,836.372297
key.period,838.102256,838.175233
key.space,838.23422,838.3651430000001
key.caps_lock,838.5555370000001,838.701453
key.t,838.7594220000001,838.858362
key.caps_lock,838.828379,838.93132
key.h,839.033261,839.150204
key.e,839.207755,839.3246740000001
key.y,839.3406640000001,839.471588
key.space,839.5299210000001,839.6468510000001
key.a,839.660843,839.777776
key.r,839.909715,840.0525660000001
key.e,840.066542,840.212354
key.space,840.227346,840.358272
key.m,840.651325,840.753266
key.e,840.753266,840.88421
key.backspace,841.3909500000001,841.507779
key.o,841.770931,841.85888
key.d,841.872872,842.0187950000001
key.e,842.004804,842.223681
key.r,842.193701,842.336616
key.n,842.3516070000001,842.4835330000001
key.space,842.614455,842.7017490000001
key.h,842.920872,843.023897
key.e,843.023897,843.1978
key.r,844.4348080000001,844.566732
key.o,844.5677320000001,844.693658
key.e,845.5258090000001,845.642776
key.w,846.180457,846.282412
key.backspace,846.676189,846.793137
key.s,846.7641540000001,846.895079
